"Боюсь, у меня не получится уделять достаточно времени JS",I might not be able to devote myself full time to JS
Допустим обратное,Assume the contrary.
"Таким образом, эти оклады представляют собой сэкономленные расходы.",Those salaries therefore constitute a saved expense.
"Могу ли я положиться на тебя, пока меня не будет?",Can I rely on you while I'm away?
Я приобрел поверхностные знания о js,I acquired a passing knowledge of js
Изо всех своих сил старайся быть терпеливым.,Try all that ever you can to be patient.
Я бы хотел сократить время регрессии и приостановить все второстепенные действия.,I'd like to reduce regression time and suspend all non-essential activities.
" Гарри, кажется, под большим впечатлением.",Harry seems rather impressed.
У меня очень гибкий график работы,My schedule is very flexible.
Одна и та же проблема повторяется постоянно,The same problem keeps recurring.
 доктор уже столкнулся с несколькими похожими случаями,The doctor had encountered several similar cases
Поэтому переговоры были приостановлены на прошлой неделе.,"Therefore, the negotiations were suspended last week."
Боевые действия вдоль границы временно прекратились,The fighting along the border has temporarily ceased
Мы менее склонны задумываться о роли нашего воображения.,We're less likely to consider the role of our imaginations.
Мы согласны с вашим предложением,We are in accord with your proposal
её лицо не очень изменилось За эти годы ,Her face hadn't altered much over the years
Переговоры были приостановлены,The talks have been suspended.
Сначала необходимо определить стадию болезни.,At first it is necessary to determine the grade of the disease
"Оставь надежду, всяк сюда входящий.",Abandon hope everyone who enter here.
Она проживает в Принстоне,She resides in Princeton.
"Пожалуйста, укажите свои предпочтения в форме бронирования",Please indicate your preference on the booking form
это  указывет на недостатки,this indicates disadvantages
Они не советуют домовладельцам одомашнивать диких животных,They discourage homeowners from trying to adopt feral animals as pets
Я восхищаюсь ее твердой решимостью добиться успеха,I admire her gritty determination to succeed.
Совещание будет посвящено проблемам охраны труда и техники безопасности.,The meeting will be devoted to health and safety issues.
Тем временем Сэмюэль не стал богаче.,"Meanwhile, Samuel didn't get richer."
Но в конце концов они оказались там.,But eventually they were there.
Практика обеспечит большую согласованность результатов.,Practice will ensure greater consistency of results.
Она внутри?,Is she within?
Мы посвящаем тренировкам пять полных дней в месяц.,We devote five full days a month to training.
Они перестали говорить на своём родном языке,They abandoned their native language.
Он вернулся домой в обед,He arrived home at lunchtime
спрос определяет цену ,Demand determines the price
Он не оставлял попыток вовлечь меня в разговор,He kept trying to engage me in conversation.
"Это была предсказуемая, но тем не менее забавная история","It was a predictable, but nevertheless funny, story"
"Давайте вернёмся к тому, что было сказано на собрании сегодня утром",Let us recur to what was said in this morning's meeting
"Это не утверждается открыто, но, видимо, подразумевается.","It is not directly asserted, but it seems to be implied"
"Она вкратце рассказала мне, чем я буду заниматься",She outlined what I would be doing.
спор обострился,The debate sharpened
Возникло новое затруднение,A new difficulty has arisen
уже на следующее утро,the very next morning
особенно непреднамеренные последствия,particularly the unintended consequences
в то время как это вознаграждает нас чувством социальной связи,while it rewards us with the feeling of social bonding 
"Я всегда получаю то, к чему стремлюсь",You're no exception to the rule
Вы не исключение из правил,I always get what I aim for
Прими решение ни о чем не сожалеть,Make up your mind to have no regrets
