Одним из наиболее важных аспектов Selenium является возможность взаимодействия,One of the most relevant aspects of the Selenium  is the ability to interact 
Меня не было дома почти весь день,I've been out most of the day
"похоже, она тщательно подбирала слова",She seemed to be choosing her words carefully
что она может найти в нем?,What can she see in him?
На что можно было надеяться такому ребенку?,At least they were alive and still had faces you could recognise.
Они понятия не имеют об опасности,They've got no idea of danger
На что можно было надеяться такому ребенку?,What hope was there for a child like that?
Элиот проснулся весь в поту,Eliot woke up covered in sweat
В большей степени мое беспокойство было вызвано нерабочим окружением,"To a greater extent, my concern was caused by the non-working environment"
Рядом с ним лежал подарок.,Next to it was a present.
"Мало ли мы знали, что в ближайшие годы",Little did we know that in the years to come
"И это привело к изменению того, как мы потребляем развлечения.",And this has led to a shift in how we consume entertainment.
"Достаточно сказать, что зрители всегда найдутся","Suffice to say, There will always be spectators"
Он привык делать чай в чужих домах.,he had become used to making tea in strange houses.
Она попробовала его (чай) и скривила лицо из-за сахара,"She tasted it and made a face because of the sugar,"
"Элиоту было интересно, в курсе ли она, что все еще сидит в пальто",Eliot wondered if she knew she still had her coat on
Все казалось еще было на своих местах.,everything seemed to be still in its place
Обычной задачей на современных веб-сайтах является извлечение отдельных элементов данных с сервера страницу целиком.,A common task in modern websites is retrieving individual data items from the server 
для обновления разделов веб-страницы без необходимости загружать всю новую ,to update sections of a webpage without having to load an entire new page. 
"Эта, казалось бы, незначительная деталь оказала огромное влияние на производительность и поведение сайтов",This seemingly small detail has had a huge impact on the performance and behavior of sites
Это может позволить вам искать книги определенного жанра,It might let you search for a particular genre of book
Это неэффективно и может привести к ухудшению пользовательского опыта., This is inefficient and can result in a poor user experience.
"Чтобы еще больше ускорить процесс, некоторые сайты также хранят ресурсы и данные на компьютере пользователя","To speed things up even further, some sites also store assets and data on the user's computer"
"это означает, что при последующих посещениях они используют локальные версии вместо загрузки новых копий",meaning that on subsequent visits they use the local versions instead of downloading fresh copies
Я рассчитывал на повышение зарплаты,I was counting on a salary increase
Я продолжаю улучшать методы,I keep improving the methods
Мы не можем позволить этому продолжаться.,We can't let this carry on.
Я продолжаю совершенствовать методы,I keep improving the methods
настаивайте на переносе сроков,insist on rescheduling
Пусть это поскорее закончится!,Let it be over soon!
у меня срабатывает будильник в 6,my alarm goes off at 6
я хочу отказаться от сверхурочной работы,i want to give up overtime
не выбрасывай это письмо,don't throw away that letter
не могли бы вы заполнить эту форму,could you fill in this form
не могли бы вы узнать причину упавших тестов,could you find out a reason of fallen tests
не могли бы вы присмотреть за моим чемоданом,could you looking after my suitcase
я с нетерпением жду нового проекта,i am looking forward a new project
Мне сказали подобрать того мужика лично,I was told to pick up that dude personally
я не лажу со своим боссом,i don't get on with my boss
до ниточки промок,to be soaked to the skin
